longitude,latitude,station,value,area,purpose,height,color,areatype,datatype
139.73279,35.68761,四ツ谷・330,390.0,2266,共同住宅,3900,8,residence,price
139.74153,35.68971,半蔵門・370,288.0,2422,共同住宅,2880,8,residence,price
139.73579,35.68650,麹町・190,217.0,436,住宅,2170,8,residence,price
139.74052,35.68529,半蔵門・160,247.0,227,共同住宅,2470,8,residence,price
139.76143,35.67784,東京・480,2630.0,9827,事務所、店舗兼駐車場等,26300,9,business,price
139.74229,35.69243,都営市ヶ谷・520,185.0,86,店舗兼事務所,1850,7,business,price
139.74699,35.67183,溜池山王・270,675.0,1896,事務所,6750,9,business,price
139.77237,35.70143,秋葉原・250,1100.0,1028,店舗,11000,9,business,price
139.76653,35.68983,小川町・250,370.0,349,店舗、事務所兼寄宿舎,3700,8,business,price
139.77763,35.69234,神田・500,201.0,95,店舗、事務所兼住宅,2010,8,business,price
139.77675,35.69618,岩本町・240,117.0,182,店舗、事務所兼住宅,1170,7,business,price
139.77031,35.69452,神田・70,484.0,114,店舗、事務所兼住宅,4840,9,business,price
139.77448,35.69634,秋葉原・130,204.0,186,店舗兼事務所,2040,8,business,price
139.77069,35.70104,秋葉原・390,637.0,165,店舗兼事務所,6370,9,business,price
139.75713,35.69976,水道橋・340,386.0,206,事務所,3860,8,business,price
139.76802,35.69060,神田・320,433.0,194,事務所、住宅兼駐車場等,4330,9,business,price
139.76324,35.69802,御茶ノ水・240,457.0,122,店舗、事務所兼住宅,4570,9,business,price
139.77431,35.69081,神田・450,190.0,514,事務所,1900,8,business,price
139.76218,35.69540,小川町・300,580.0,222,店舗兼住宅,5800,9,business,price
139.77597,35.69919,秋葉原・300,109.0,120,倉庫、事務所兼住宅,1090,6,business,price
139.76242,35.69950,御茶ノ水・190,208.0,438,事務所,2080,8,business,price
139.73553,35.68432,麹町・200,612.0,380,事務所,6120,9,business,price
139.74341,35.68131,半蔵門・180,280.0,131,店舗兼事務所,2800,8,business,price
139.74547,35.69922,飯田橋・160,220.0,297,店舗、事務所兼住宅,2200,8,business,price
139.75056,35.69921,飯田橋・160,138.0,203,事務所兼作業所,1380,7,business,price
139.77310,35.69350,神田・230,220.0,179,店舗兼事務所,2200,8,business,price
139.75639,35.69743,神保町・150,132.0,661,店舗、事務所兼共同住宅等,1320,7,business,price
139.76466,35.68557,大手町（近接）,2510.0,3783,電話局舎、事務所兼店舗等,25100,9,business,price
139.76689,35.69491,淡路町（近接）,533.0,817,銀行兼事務所,5330,9,business,price
139.76830,35.69392,淡路町・210,133.0,136,事務所、作業所兼住宅,1330,7,business,price
139.77524,35.69986,秋葉原・140,326.0,235,店舗、事務所兼倉庫,3260,8,business,price
139.78336,35.66887,月島・420,87.3,73,住宅,873,6,residence,price
139.77921,35.66290,勝どき・500,124.0,558,共同住宅,1240,7,residence,price
139.77342,35.65195,勝どき・900,101.0,4158,共同住宅兼駐車場,1010,6,residence,price
139.78114,35.69207,馬喰町（近接）,265.0,339,店舗兼共同住宅,2650,8,business,price
139.77921,35.66290,月島（近接）,200.0,84,店舗、事務所兼共同住宅,2000,8,business,price
139.77928,35.68706,小伝馬町・400,193.0,268,店舗、事務所兼駐車場,1930,8,business,price
139.77679,35.69013,新日本橋（近接）,540.0,330,事務所兼駐車場,5400,9,business,price
139.76134,35.66991,銀座・400,780.0,159,店舗兼事務所,7800,9,business,price
139.77551,35.68446,三越前（近接）,1730.0,730,店舗兼事務所,17300,9,business,price
139.77216,35.68136,日本橋・150,950.0,278,店舗,9500,9,business,price
139.76927,35.67673,京橋（近接）,1490.0,1169,事務所兼駐車場,14900,9,business,price
139.77261,35.67177,新富町・70,187.0,96,店舗、事務所兼住宅,1870,7,business,price
139.77354,35.66777,築地・70,219.0,257,店舗兼事務所,2190,8,business,price
139.78822,35.68063,水天宮前・250,86.1,169,事務所,861,6,business,price
139.77577,35.67736,八丁堀・100,175.0,171,店舗兼事務所,1750,7,business,price
139.76561,35.67461,銀座一丁目（近接）,4190.0,353,店舗兼事務所,41900,9,business,price
139.76157,35.67129,銀座・150,3070.0,260,店舗,30700,9,business,price
139.76338,35.66844,銀座・360,670.0,84,店舗,6700,9,business,price
139.77045,35.67683,京橋・120,247.0,308,店舗兼事務所,2470,8,business,price
139.76813,35.67291,東銀座・120,709.0,319,事務所,7090,9,business,price
139.76711,35.67604,京橋・220,229.0,167,店舗兼事務所,2290,8,business,price
139.78363,35.68209,水天宮前・210,121.0,117,事務所,1210,7,business,price
139.78470,35.68608,人形町・160,156.0,147,店舗、事務所兼住宅,1560,7,business,price
139.77434,35.66661,築地・400,144.0,133,店舗兼事務所,1440,7,business,price
139.78668,35.69309,東日本橋・250,92.5,94,事務所,925,6,business,price
139.77998,35.67272,八丁堀・250,111.0,127,店舗兼事務所,1110,6,business,price
139.77898,35.65504,勝どき・560,135.0,1882,事務所,1350,7,business,price
139.77550,35.68800,三越前・270,288.0,499,事務所,2880,8,business,price
139.78986,35.68660,浜町・260,140.0,144,店舗兼共同住宅,1400,7,business,price
139.73265,35.63532,高輪台・240,122.0,411,共同住宅兼車庫,1220,7,residence,price
139.71977,35.63901,白金台・700,124.0,601,共同住宅,1240,7,residence,price
139.72589,35.65737,六本木・850,168.0,321,共同住宅,1680,7,residence,price
139.71800,35.66485,表参道・560,174.0,183,事務所兼住宅,1740,7,residence,price
139.71614,35.65794,表参道・1100,150.0,652,共同住宅,1500,7,residence,price
139.73479,35.66013,麻布十番・400,212.0,365,共同住宅,2120,8,residence,price
139.73740,35.65732,麻布十番・160,139.0,160,事務所兼住宅,1390,7,residence,price
139.73517,35.64056,白金高輪・250,129.0,151,住宅,1290,7,residence,price
139.74263,35.64103,田町・800,139.0,371,共同住宅,1390,7,residence,price
139.74966,35.66836,虎ノ門（近接）,1250.0,989,店舗兼事務所,12500,9,business,price
139.73714,35.67564,赤坂見附・220,253.0,200,店舗兼住宅,2530,8,business,price
139.74966,35.66836,虎ノ門・240,354.0,150,事務所,3540,8,business,price
139.73749,35.63919,泉岳寺（近接）,330.0,737,建築中,3300,8,business,price
139.75818,35.66793,内幸町（近接）,1230.0,1176,店舗、事務所兼駐車場,12300,9,business,price
139.74371,35.62703,品川・380,356.0,2479,事務所,3560,8,business,price
139.75655,35.65857,浜松町・90,511.0,271,取壊中,5110,9,business,price
139.75325,35.66402,新橋・480,413.0,259,事務所兼駐車場,4130,9,business,price
139.75107,35.66331,御成門・100,575.0,1210,事務所兼車庫,5750,9,business,price
139.74594,35.64994,田町・530,325.0,178,店舗、事務所兼共同住宅,3250,8,business,price
139.73715,35.66706,六本木一丁目・200,489.0,166,店舗兼事務所,4890,9,business,price
139.72820,35.67074,乃木坂・130,410.0,670,事務所,4100,9,business,price
139.73987,35.66008,六本木一丁目・450,285.0,199,店舗、事務所兼住宅,2850,8,business,price
139.71210,35.66618,表参道・50,2570.0,465,店舗兼事務所,25700,9,business,price
139.72188,35.66731,外苑前・180,212.0,168,店舗、事務所兼住宅,2120,8,business,price
139.72456,35.65918,六本木・400,281.0,113,店舗、事務所兼共同住宅等,2810,8,business,price
139.73027,35.66033,六本木・90,407.0,67,店舗、事務所兼住宅,4070,8,business,price
139.74023,35.67104,赤坂・90,435.0,129,店舗兼事務所,4350,9,business,price
139.74280,35.65669,赤羽橋・300,137.0,89,住宅、店舗兼共同住宅,1370,7,business,price
139.73352,35.65629,麻布十番・300,269.0,101,店舗兼共同住宅,2690,8,business,price
139.72990,35.65684,六本木・520,225.0,327,店舗、事務所兼共同住宅,2250,8,business,price
139.72453,35.65340,広尾・80,317.0,671,店舗兼共同住宅,3170,8,business,price
139.75345,35.65506,大門・220,208.0,400,事務所兼車庫,2080,8,business,price
139.74460,35.65683,赤羽橋・260,288.0,157,事務所、住宅兼車庫,2880,8,business,price
139.73517,35.64056,白金高輪・500,142.0,100,店舗兼共同住宅,1420,7,business,price
139.74889,35.64499,田町・400,235.0,81,店舗兼事務所,2350,8,business,price
139.75642,35.64587,芝浦ふ頭・200,99.5,4316,倉庫兼事務所,995,6,,price
139.72812,35.69888,牛込柳町・230,94.5,219,住宅,945,6,residence,price
139.71077,35.69953,東新宿・440,58.2,95,住宅,582,4,residence,price
139.69873,35.70299,大久保・240,64.0,112,診療所兼住宅,640,5,residence,price
139.69720,35.71347,高田馬場・800,56.2,102,住宅,562,4,residence,price
139.68372,35.71252,都営中井・400,49.5,155,住宅,495,3,residence,price
139.72833,35.70113,牛込柳町・450,58.2,115,住宅,582,4,residence,price
139.68875,35.72081,落合南長崎・350,53.6,204,住宅,536,4,residence,price
139.68964,35.69859,西新宿・850,55.4,132,共同住宅,554,4,residence,price
139.70642,35.71098,高田馬場・390,67.0,205,住宅,670,5,residence,price
139.71802,35.70375,若松河田・480,62.4,99,住宅,624,4,residence,price
139.73994,35.69850,飯田橋・770,109.0,1438,共同住宅,1090,6,residence,price
139.71846,35.68571,四谷三丁目・300,82.0,201,住宅,820,6,residence,price
139.70158,35.69469,新宿・340,696.0,178,店舗,6960,9,business,price
139.70357,35.69123,新宿・200,1700.0,488,店舗,17000,9,business,price
139.70357,35.69123,新宿三丁目・120,978.0,322,事務所、店舗兼劇場,9780,9,business,price
139.69807,35.68857,新宿・170,1900.0,235,店舗兼事務所,19000,9,business,price
139.74286,35.70214,飯田橋・200,198.0,127,事務所、住宅兼店舗,1980,8,business,price
139.72636,35.69858,牛込柳町・50,145.0,160,共同住宅,1450,7,business,price
139.70383,35.69656,東新宿・200,192.0,188,事務所,1920,8,business,price
139.69919,35.71077,高田馬場・80,318.0,277,店舗兼事務所,3180,8,business,price
139.71121,35.68831,新宿御苑前（近接）,348.0,484,事務所,3480,8,business,price
139.70546,35.69144,新宿三丁目（近接）,1790.0,972,店舗,17900,9,business,price
139.70750,35.71298,高田馬場・450,191.0,204,店舗、事務所兼住宅,1910,8,business,price
139.69025,35.71714,西武中井・150,73.0,130,店舗兼共同住宅,730,5,business,price
139.69246,35.69202,新宿・640,1060.0,14445,店舗兼事務所,10600,9,business,price
139.73096,35.70767,江戸川橋・230,134.0,296,店舗兼共同住宅,1340,7,business,price
139.72244,35.68782,四谷三丁目・170,369.0,533,事務所,3690,8,business,price
139.68918,35.68453,新宿・640,552.0,808,事務所,5520,9,business,price
139.69388,35.69949,大久保・270,96.5,177,事務所兼住宅,965,6,business,price
139.71304,35.70890,西早稲田（近接）,155.0,529,店舗兼共同住宅,1550,7,business,price
139.71736,35.70018,若松河田・300,138.0,236,店舗、事務所兼共同住宅,1380,7,business,price
